McTavish,Bellevue,Assomption,Trudeau,StHubert
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10,0,19,0,7
0,4,20,0,6
106,105,190,138,134
0,0,10,0,2
10,0,0,0,2
0,0,0,0,0
40,0,10,10,15
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12,21,0,32,16
64,19,90,38,54
40,51,50,39,45
26,0,0,0,6
232,92,240,108,169
52,63,70,59,60
116,56,98,79,87
116,132,159,172,145
0,0,0,0,0
11,0,0,0,3
146,80,50,189,117
0,0,0,0,0
0,0,0,0,0
222,93,30,117,116
68,152,140,121,121
0,0,0,0,0
24,0,0,0,6
0,0,0,0,0
50,65,30,45,47
83,112,150,78,106
80,53,50,61,61
0,0,10,0,2
0,0,10,0,2
358,310,350,304,331
30,75,10,37,37
0,0,20,0,5
0,0,0,0,0
0,0,0,0,0
124,95,100,103,106
0,0,10,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
102,102,70,115,97
0,0,0,0,0
117,49,600,63,207
0,102,10,40,38
10,38,40,0,22
0,0,0,0,0
275,204,250,171,223
0,0,10,0,2
0,0,0,0,0
0,0,0,0,0
0,0,20,0,5
0,0,10,0,2
0,0,0,0,0
0,10,0,15,6
0,0,0,0,0
138,55,0,69,65
10,9,0,15,8
0,0,0,0,0
187,3,80,21,72
0,0,0,0,0
10,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
240,86,20,220,142
10,0,0,23,8
140,275,210,209,209
60,66,30,52,52
0,0,0,0,0
0,0,0,0,0
394,27,100,107,156
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
94,206,120,110,134
66,46,0,28,35
18,0,0,0,4
0,0,0,0,0
102,118,160,72,113
0,0,0,0,0
0,189,270,5,115
12,0,21,0,8
0,0,0,0,0
0,0,0,0,0
0,24,0,0,6
0,0,200,0,50
72,47,0,61,45
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
104,121,280,109,154
48,16,20,31,29
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,10,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
212,142,90,67,128
0,0,10,0,2
0,0,10,0,2
10,0,20,4,8
70,74,20,37,50
0,0,0,0,0
10,0,0,42,12
0,0,0,0,0
138,109,120,176,136
0,0,0,0,0
0,0,0,0,0
215,75,190,196,170
10,0,0,0,2
0,0,0,0,0
0,0,10,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,3,1
0,0,0,0,0
22,21,10,21,17
51,98,80,53,69
362,371,100,320,287
0,38,0,30,17
0,0,0,0,0
12,6,0,3,5
86,81,60,108,84
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
88,55,160,83,96
85,60,50,73,65
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
36,42,50,53,45
206,107,140,128,144
10,0,0,0,2
0,0,10,0,2
2082,0,0,0,520
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
24,21,70,28,36
0,0,0,0,0
12,25,0,7,12
114,78,80,113,96
58,34,42,45,46
0,14,0,16,8
60,26,68,46,50
0,0,0,0,0
16,16,40,13,21
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
38,36,30,25,31
10,6,20,3,9
28,11,10,15,15
0,0,0,0,0
0,0,0,0,0
202,185,160,183,182
106,104,224,90,131
0,5,80,0,21
14,0,0,5,5
211,174,100,179,166
11,0,0,3,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
22,20,0,6,12
68,62,110,68,78
0,0,0,0,0
0,0,0,0,0
0,36,0,3,10
0,0,0,0,0
0,0,11,0,3
152,277,92,195,181
300,152,261,192,226
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
44,0,0,2,11
0,0,0,0,0
0,0,20,0,5
22,29,0,38,22
72,19,20,30,36
86,10,170,39,75
10,0,12,2,5
0,0,0,0,0
11,9,20,15,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
318,463,330,209,274
0,0,0,0,0
0,0,0,0,2
6,0,14,0,8
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,4,0,0,0
16,29,0,15,19
282,310,270,319,228
303,218,380,393,222
116,20,310,24,111
2,0,10,0,0
0,0,0,0,0
129,175,78,150,113
131,54,162,90,219
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
526,494,782,435,394
22,0,27,0,61
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,0,20,0,0
0,0,0,0,0
17,7,20,30,15
8,0,0,0,30
0,0,0,0,0
60,52,12,90,86
119,119,276,62,19
1,0,0,0,5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
92,117,33,97,129
0,0,0,0,0
22,15,40,21,14
0,0,0,0,2
2,7,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
83,115,40,113,67
0,0,0,0,0
0,0,0,0,0
4,0,0,0,0
152,80,80,91,125
132,116,120,82,169
2,0,0,0,0
12,0,20,5,0
146,150,379,123,119
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6,0,0,0,2
14,0,270,0,0
6,0,0,11,5
10,17,0,53,2
0,0,10,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
12,5,0,0,0
618,271,480,440,391
0,0,0,0,0
48,10,120,41,4
182,134,132,118,77
12,2,20,0,12
0,0,0,0,0
0,0,0,2,0
0,0,0,0,0
0,12,0,0,0
0,0,11,0,0
0,0,20,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,3,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
108,155,130,98,70
0,2,0,0,0
46,56,70,33,6
2,0,10,0,0
0,0,0,0,0
36,114,40,20,23
112,72,70,36,84
0,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
70,60,110,53,46
0,0,0,0,0
176,189,140,180,124
0,0,0,0,0
0,0,0,0,0
8,4,0,0,7
4,7,30,0,0
10,38,0,15,4
0,0,0,0,0
0,0,10,0,0
20,43,20,51,9
0,0,0,0,0
8,7,0,9,2
0,5,20,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
284,239,190,216,177
4,0,0,0,2
0,0,0,0,0
54,123,90,31,40
316,187,220,189,273
8,0,10,3,10
0,0,0,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,10,0,0
38,31,50,41,19
86,110,90,68,55
2,0,0,0,0
20,13,40,16,45
0,0,0,0,0
4,0,0,4,2
34,11,0,22,20
0,0,0,0,0
76,50,40,51,68
6,4,0,9,6
50,27,60,31,46
2,0,0,6,0
0,0,0,0,0
30,17,30,44,12
12,9,10,11,12
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,2,0
18,12,0,7,7
2,0,0,2,0
0,0,10,0,0
0,0,0,0,0
0,0,0,0,0
50,22,80,84,40
2,0,0,0,0
208,131,100,189,197
88,46,60,90,28
2,0,0,0,0
0,0,0,2,0
0,0,0,0,0
0,0,0,0,2
0,0,0,4,0
318,0,290,90,159
0,0,30,0,25
0,0,0,0,0
0,0,0,0,0
2,0,10,2,4
0,0,10,0,0
0,0,0,2,0
200,206,170,187,160
52,64,10,47,48
0,9,0,0,5
82,79,0,47,28
0,2,0,2,2
38,22,230,23,22
22,40,10,30,14
24,19,0,18,22
48,41,22,13,13
0,2,0,0,0
0,0,0,0,0
98,98,40,59,122
2,0,0,0,0
0,0,0,0,0
288,308,290,258,240
124,48,20,77,199
32,39,330,24,22
2,0,0,0,0
102,131,30,106,84
2,2,0,0,2
0,0,0,0,0
2,0,0,0,5
406,207,180,242,251
2,0,0,0,0
40,57,20,36,20
0,0,0,0,0
0,0,0,0,0
14,165,0,194,10
14,0,0,66,0
50,33,90,13,8
6,0,0,29,2
2,2,0,2,0
0,0,40,0,0
0,0,0,0,0
164,108,190,113,119
12,5,0,0,12
24,36,45,25,14
244,108,215,95,326
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
68,97,20,2,25
32,13,20,15,82
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6,0,0,0,0
0,10,30,0,12
0,0,0,0,0
0,0,0,4,0
29,13,0,7,7
119,65,60,60,49
153,580,210,412,158
5,0,0,0,0
108,175,70,306,57
0,0,0,2,0
2,0,20,5,0
2,37,40,12,0
0,0,10,0,0
24,17,70,34,33
198,258,40,10,283
0,0,0,2,2
0,0,0,0,0
57,32,30,39,60
0,0,70,0,0
29,39,0,70,13
0,0,0,4,2
0,10,20,2,0
52,0,0,30,63
6,4,329,4,10
0,0,0,0,0
0,0,0,0,0
0,0,0,5,0
0,0,0,2,0
13,0,0,135,15
537,368,450,588,392
21,2,290,20,59
0,0,0,0,0
19,50,0,36,25
19,0,0,6,0
0,0,0,0,0
0,0,0,0,0
197,0,0,46,0
0,0,0,2,2
0,0,0,0,0
106,99,100,142,81
0,0,0,0,0
0,0,0,0,0
0,0,0,0,37
0,3,0,11,2
0,0,0,0,0
2,0,0,0,178
0,0,0,0,0
0,0,0,3,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,0,0
0,0,0,3,0
0,0,0,0,0
159,142,240,155,174
0,0,10,0,0
3,0,0,0,17
0,0,0,9,0
0,0,0,3,0
86,101,70,64,73
229,250,420,337,212
107,13,380,56,163
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,7,0
78,68,130,101,33
0,0,0,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6,0,60,6,4
301,287,430,289,283
52,38,2,41,63
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,4,0
66,64,50,61,67
0,0,0,3,0
0,0,0,0,0
0,0,0,0,0
48,11,20,21,24
2,0,0,0,0
107,132,60,125,87
7,36,0,20,2
122,120,150,115,82
0,5,0,2,0
0,7,0,2,0
0,0,0,0,0
0,0,0,0,0
29,29,36,30,29
0,0,0,0,0
13,4,0,0,8
204,152,167,158,178
2,0,10,0,0
0,0,0,4,0
294,267,330,277,277
137,73,112,100,93
5,2,0,0,0
0,2,0,6,0
51,76,70,83,45
24,7,10,14,22
0,0,10,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,7,0
82,77,129,85,119
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
33,37,40,39,43
26,21,50,51,16
7,3,0,2,10
4,0,0,2,2
0,0,0,0,0
0,0,0,0,0
0,0,101,0,8
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6,56,0,10,0
0,0,0,0,0
4,0,0,0,14
17,0,0,0,89
0,0,0,0,0
0,0,0,0,0
53,46,110,44,34
0,0,0,0,0
0,0,0,0,0
562,234,360,283,424
53,47,30,31,73
0,0,0,2,0
5,4,0,8,0
5,2,10,0,0
0,0,0,0,0
0,0,0,0,0
0,0,18,0,0
0,0,0,45,0
0,8,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,0,0
0,0,61,0,0
0,0,0,0,0
56,41,0,69,2
0,0,0,0,0
0,0,0,0,15
0,0,0,0,0
0,0,0,0,0
26,29,10,24,7
210,105,80,78,50
21,7,70,10,29
0,0,0,0,0
15,21,0,38,20
0,0,10,0,0
2,0,20,13,0
0,0,10,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
216,140,360,160,190
11,6,41,8,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
83,106,140,56,175
5,33,0,8,0
113,0,20,7,70
0,0,0,0,0
167,54,140,160,258
0,0,0,2,0
0,0,0,0,0
0,0,0,0,0
46,48,0,30,71
183,167,70,173,164
0,0,0,0,0
41,7,100,49,35
0,0,0,0,18
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
23,0,30,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,69
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
17,96,90,21,19
262,203,470,262,294
162,298,460,223,249
0,0,0,0,0
768,699,641,700,618
10,7,20,12,24
0,0,10,0,0
0,0,0,0,0
0,0,0,0,0
221,226,230,163,143
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8,6,0,6,29
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,147,20,74,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
77,117,130,108,57
0,0,0,0,0
0,3,0,0,0
60,38,30,54,76
0,0,0,0,0
0,0,0,0,0
0,10,0,0,2
0,0,0,0,0
0,0,0,0,0
0,19,20,6,0
20,16,40,15,24
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11,5,0,5,14
16,29,10,23,19
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
26,8,30,28,17
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8,0,30,7,0
0,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
199,131,220,164,131
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
76,39,80,63,78
0,0,0,2,0
0,0,0,0,0
126,99,100,120,96
3,0,10,0,0
41,69,70,50,62
0,0,0,0,0
206,153,160,195,173
484,356,400,363,439
271,212,300,266,292
120,40,130,52,98
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
118,125,60,125,114
96,138,80,59,105
87,65,80,65,63
0,0,0,0,0
0,0,0,0,0
459,476,530,456,421
0,0,20,0,0
0,0,0,0,0
0,0,0,0,0
170,277,150,194,125
58,92,70,83,24
73,93,110,73,86
2,4,0,2,0
4,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,38,0,9,15
28,35,70,33,35
2,5,0,5,9
0,0,0,0,0
0,0,0,0,0
7,3,10,2,0
2,0,0,2,2
0,2,0,0,0
0,5,0,0,2
83,105,30,83,56
0,0,10,0,0
0,0,0,0,0
124,96,170,86,118
21,23,40,24,10
0,0,0,0,0
0,0,0,0,0
109,58,60,64,78
71,84,100,83,33
47,13,210,13,50
0,0,0,0,0
14,14,0,45,17
0,14,0,0,2
0,0,0,0,0
434,323,230,368,253
192,138,90,124,85
0,0,0,0,0
0,0,0,2,0
0,0,0,2,0
0,0,0,2,0
0,0,10,0,0
0,0,0,22,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
292,172,210,230,253
0,0,0,0,0
0,0,80,0,5
2,9,0,5,14
174,96,80,159,117
0,0,30,0,0
0,0,0,0,0
136,110,60,114,124
0,0,34,0,0
0,0,140,0,10
55,8,0,15,38
27,0,20,14,131
2,35,10,0,0
27,61,34,32,19
66,41,63,57,90
31,71,45,52,29
0,14,3,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
74,70,350,100,85
327,173,280,207,194
0,0,0,2,0
24,16,0,21,17
0,0,10,0,0
0,0,0,0,8
5,14,50,8,12
56,75,0,77,57
8,32,20,11,4
0,16,0,7,0
13,6,0,33,33
0,0,0,0,0
13,0,0,75,46
0,268,0,88,4
61,0,0,0,8
0,0,0,0,0
0,0,0,0,0
173,261,200,152,131
53,13,40,15,19
0,0,0,0,0
0,15,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
101,0,330,366,8
3,0,0,0,0
40,0,50,0,84
2,0,0,0,0
148,138,10,306,228
148,50,60,121,98
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,0,0
0,0,0,0,0
0,15,0,0,0
110,110,170,55,63
15,7,10,6,10
0,0,0,0,0
59,101,30,69,68
0,0,0,0,0
0,0,0,0,0
189,182,140,180,157
0,0,11,0,0
0,0,0,0,0
0,0,0,0,0
145,135,260,87,175
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0,0,0
0,0,0,0,0
2,0,10,5,20
0,0,0,0,0
0,0,0,0,0
275,196,280,236,244
16,22,30,15,19
11,20,60,6,10
0,0,0,0,2
108,86,70,167,150
0,0,0,3,0
38,15,0,3,5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
50,36,60,50,20
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
74,67,100,47,69
0,0,0,0,2
0,0,0,0,0
30,35,30,31,38
69,70,191,54,130
324,298,170,279,326
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,4
133,87,160,93,114
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
295,240,272,298,139
2,0,10,0,2
36,16,30,24,64
0,0,0,0,2
0,0,0,0,0
184,271,280,223,192
44,50,110,31,58
0,0,0,0,8
4,3,11,7,4
0,0,33,0,0
176,91,99,125,136
94,39,30,46,49
0,0,21,0,0
0,0,7,0,0
0,0,0,0,0
0,0,0,0,0
0,0,9,0,0
0,0,36,0,4
0,0,0,0,0
0,0,6,0,0
0,0,8,0,0
0,0,2,0,0
8,10,10,3,13
0,0,0,0,0
0,0,0,0,0
0,0,8,1,0
76,42,77,57,92
88,91,100,91,83
0,0,12,0,0
20,20,5,21,61
0,0,8,0,0
0,0,8,0,0
0,0,0,0,0
57,154,45,80,45
10,0,32,2,52
6,0,36,12,63
0,0,4,0,2
0,0,7,0,0
0,0,0,0,0
8,0,31,0,5
0,0,0,0,0
0,21,0,0,0
289,339,219,258,263
21,8,14,0,10
0,4,0,0,0
0,0,0,0,0
0,0,5,0,124
0,0,6,0,0
0,0,2,0,0
0,0,11,0,0
0,0,5,0,0
39,34,101,33,34
116,82,57,100,36
2,0,2,0,0
0,0,11,0,0
0,0,2,0,0
279,93,321,211,407
0,0,4,0,0
0,8,7,0,8
0,0,14,0,0
0,0,9,0,0
7,25,81,22,15
76,47,75,56,119
0,0,4,0,0
0,0,9,0,0
7,8,9,4,14
15,7,13,8,7
0,0,3,0,0
0,33,10,58,0
0,0,10,0,0
0,0,16,0,0
0,0,2,0,0
0,0,8,0,0
0,0,6,0,0
32,0,49,0,25
0,0,5,0,0
0,0,0,0,0
0,0,0,0,0
2,0,25,0,15
0,0,8,0,0
0,0,10,0,0
0,0,7,0,0
0,0,24,0,4
0,0,7,0,0
0,0,9,0,0
287,256,193,320,141
0,0,5,0,0
0,0,8,0,0
0,0,13,0,0
0,0,2,0,0
47,57,59,34,20
0,0,0,0,0
12,0,6,0,14
387,159,430,287,255
9,5,80,266,18
0,0,3,0,0
37,120,19,14,43
0,0,9,0,0
0,0,14,0,0
0,0,9,0,0
73,0,6,34,63
3,0,7,3,20
0,0,6,0,0
4,120,18,17,5
0,0,14,0,0
12,183,0,90,9
5,11,22,9,5
30,37,41,35,75
40,111,77,49,24
0,0,4,0,0
0,0,16,0,0
9,0,21,0,0
0,0,11,0,0
41,0,12,75,0
12,0,10,6,0
0,0,7,0,0
41,17,63,27,48
0,0,6,0,0
0,0,13,0,0
2,0,16,0,0
0,4,19,2,2
26,10,11,4,20
0,1,4,2,0
0,0,4,0,0
0,0,12,0,0
84,22,0,158,89
0,0,15,2,2
146,2,223,89,87
8,21,37,15,10
0,0,11,2,0
0,0,8,0,0
4,0,2,0,0
89,90,502,96,290
59,81,204,39,122
0,0,6,2,0
5,0,48,10,10
0,0,9,0,0
0,0,213,0,0
0,0,0,0,0
0,0,0,0,0
81,141,56,113,92
170,72,95,128,139
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,0,0,0,0
2,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,2,0
0,0,0,0,0
363,361,363,329,293
2,0,0,4,0
0,0,0,0,0
0,0,0,2,0
75,50,86,39,72
85,74,62,40,43
2,0,0,2,0
0,14,0,3,2
12,14,10,13,2
2,11,0,4,2
8,9,0,11,7
104,83,53,76,99
0,0,0,0,0
15,23,42,20,17
4,0,0,0,0
0,0,0,0,0
0,2,0,0,4
148,92,33,123,161
56,46,5,57,66
120,42,59,45,86
81,53,72,71,102
3,0,2,0,0
0,0,0,0,0
3,0,0,2,0
50,49,51,43,41
0,0,0,2,0
0,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,10,4,5,10
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
18,3,12,10,32
0,0,0,0,0
0,0,0,0,0
101,66,71,81,101
88,75,95,58,60
13,14,20,13,17
0,0,0,0,0
85,95,78,80,75
79,52,58,47,68
26,19,15,13,17
34,27,34,31,44
2,0,0,2,0
0,0,0,0,0
0,0,0,0,0
3,0,0,0,0
0,0,0,0,0
89,67,77,86,67
385,265,286,285,316
2,0,0,0,0
0,0,0,0,0
18,22,0,9,5
95,130,62,104,84
2,0,0,0,0
0,0,0,0,0
5,11,0,3,5
0,0,0,2,0
65,56,37,57,62
46,5,49,53,50
0,0,3,2,0
0,0,0,2,0
175,223,351,159,213
13,16,22,15,14
0,2,7,4,6
3,9,21,5,7
0,0,0,0,0
3,6,0,15,10
0,0,0,2,0
7,10,13,12,10
2,3,0,5,5
0,0,0,0,0
93,70,62,68,62
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,0,0
0,0,0,0,0
0,2,0,9,0
236,203,166,235,175
0,0,0,0,0
17,8,0,8,8
97,60,53,58,32
100,75,69,53,81
0,0,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
153,150,18,42,391
0,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
153,124,94,164,85
0,2,10,0,0
0,1,0,3,0
0,0,0,0,0
31,105,64,138,186
125,105,90,31,176
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,29,68,27,18
10,23,32,0,48
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
377,368,386,305,404
0,0,0,0,0
22,27,72,0,12
12,3,2,0,0
0,0,0,0,0
0,0,0,0,0
0,32,128,0,0
0,0,0,0,0
13,26,41,39,10
0,0,0,0,0
0,45,24,0,156
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,4,0,0
0,0,0,2,0
0,8,5,0,28
0,4,0,15,0
0,0,0,0,0
0,23,72,0,20
0,0,2,0,2
0,0,0,0,0
0,0,0,0,0
0,0,2,0,0
0,0,0,2,0
0,0,0,0,0
0,0,0,0,0
2,2,7,0,2
55,75,5,97,143
86,72,66,103,36
2,9,23,4,9
0,0,0,0,0
20,17,25,23,7
0,0,0,0,0
0,0,0,0,0
6,2,0,0,0
19,6,2,0,9
194,60,0,37,13
0,0,0,0,0
0,0,0,0,2
0,0,0,0,0
37,30,8,29,52
0,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,0,0
158,149,149,157,134
0,0,0,0,0
70,77,77,107,56
0,0,0,0,0
0,1,1,0,2
352,327,327,291,340
11,15,15,25,6
227,194,194,224,131
0,1,1,2,0
0,0,0,0,0
95,125,125,99,180
12,6,6,0,7
0,0,0,0,0
29,27,27,23,26
21,26,26,37,22
0,0,0,0,0
0,0,0,0,0
74,60,60,67,39
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4,2,2,2,0
0,0,0,0,0
33,41,41,48,43
0,2,2,5,0
18,7,7,2,0
112,110,110,72,144
0,2,2,2,2
55,52,52,61,39
2,2,2,4,0
0,2,2,0,5
542,584,584,548,658
2,2,2,2,0
26,25,25,30,17
28,26,26,25,22
0,1,1,2,0
0,1,1,0,2
106,106,106,95,118
3,2,2,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,6,6,2,14
3,3,3,4,0
0,0,0,0,0
0,1,1,2,0
45,47,47,59,35
688,680,680,656,696
2,3,3,4,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
104,109,109,129,92
152,138,138,114,149
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
442,378,378,352,341
7,6,6,2,6
0,1,1,0,2
0,0,0,0,0
